"size","depth","timeTakenToSort","MaxDepthInTheory","isPerfectSorted"
80000,0,0.0325133,16,false
80000,1,0.015377100000000001,16,false
80000,2,0.0159539,16,false
80000,3,0.013971,16,false
80000,4,0.0134768,16,false
80000,5,0.011818100000000002,16,false
80000,6,0.0120645,16,false
80000,7,0.0110649,16,false
80000,8,0.0116258,16,false
80000,9,0.010940700000000001,16,false
80000,10,0.0102593,16,true
80000,11,0.0101761,16,true
80000,12,0.0102623,16,true
80000,13,0.010551900000000001,16,true
80000,14,0.0103786,16,true
80000,15,0.010097100000000001,16,true
80000,16,0.0098743,16,false
80000,17,0.0102579,16,false
80000,18,0.010155,16,false
80000,19,0.0099282,16,false
80000,20,0.010261300000000001,16,false
80000,21,0.009867800000000001,16,false
80000,22,0.0099869,16,false
80000,23,0.0101823,16,false
80000,24,0.009859000000000001,16,false
80000,25,0.010323200000000001,16,false
80000,26,0.0099591,16,false
80000,27,0.0103195,16,false
80000,28,0.010112600000000001,16,false
80000,29,0.010147600000000001,16,false
80000,30,0.010214200000000001,16,false
80000,31,0.0099629,16,false
80000,32,0.009804100000000001,16,false
80000,33,0.0097719,16,false
80000,34,0.0098277,16,false
80000,35,0.0097636,16,false
80000,36,0.0098256,16,false
80000,37,0.0098151,16,false
80000,38,0.0098604,16,false
80000,39,0.010010400000000001,16,false
80000,40,0.0103,16,false
80000,41,0.0101618,16,false
80000,42,0.01,16,false
80000,43,0.0098253,16,false
80000,44,0.010322300000000001,16,false
80000,45,0.009988700000000001,16,false
80000,46,0.0103131,16,false
80000,47,0.0098229,16,false
80000,48,0.010131000000000001,16,false
80000,49,0.010040400000000001,16,false
80000,50,0.0099737,16,false
80000,51,0.009807100000000001,16,false
80000,52,0.0097976,16,false
80000,53,0.0100649,16,false
80000,54,0.0103701,16,false
80000,55,0.010250800000000001,16,false
80000,56,0.0098419,16,false
80000,57,0.0099935,16,false
80000,58,0.0101326,16,false
80000,59,0.0100046,16,false
80000,60,0.0100633,16,false
80000,61,0.010299800000000001,16,false
80000,62,0.0098338,16,false
80000,63,0.010148200000000001,16,false
"-------------------------------------------------------"
90000,0,0.0181883,16,false
90000,1,0.032949200000000005,16,false
90000,2,0.0217281,16,false
90000,3,0.0181827,16,false
90000,4,0.0167407,16,false
90000,5,0.015528100000000001,16,false
90000,6,0.014716400000000001,16,false
90000,7,0.0147504,16,false
90000,8,0.0129473,16,false
90000,9,0.012327000000000001,16,false
90000,10,0.011679100000000001,16,true
90000,11,0.011754,16,true
90000,12,0.0115957,16,true
90000,13,0.011348500000000001,16,true
90000,14,0.011174600000000002,16,true
90000,15,0.011234500000000001,16,true
90000,16,0.010947,16,false
90000,17,0.0108298,16,true
90000,18,0.011058700000000001,16,false
90000,19,0.0109301,16,false
90000,20,0.0110846,16,false
90000,21,0.0113776,16,false
90000,22,0.0107899,16,false
90000,23,0.0110585,16,false
90000,24,0.0109592,16,false
90000,25,0.0111439,16,false
90000,26,0.0109745,16,false
90000,27,0.0109312,16,false
90000,28,0.011049000000000002,16,false
90000,29,0.011101300000000001,16,false
90000,30,0.011259,16,false
90000,31,0.0108906,16,false
90000,32,0.0110808,16,false
90000,33,0.010667300000000001,16,false
90000,34,0.010971,16,false
90000,35,0.0107314,16,false
90000,36,0.010718400000000001,16,false
90000,37,0.010779400000000001,16,false
90000,38,0.010826800000000001,16,false
90000,39,0.010723900000000001,16,false
90000,40,0.010837900000000001,16,false
90000,41,0.0108266,16,false
90000,42,0.0111112,16,false
90000,43,0.0109108,16,false
90000,44,0.0106727,16,false
90000,45,0.0108363,16,false
90000,46,0.010833200000000001,16,false
90000,47,0.011244200000000001,16,false
90000,48,0.0111164,16,false
90000,49,0.010749700000000001,16,false
90000,50,0.010853600000000001,16,false
90000,51,0.0106792,16,false
90000,52,0.0110235,16,false
90000,53,0.010722800000000001,16,false
90000,54,0.0107813,16,false
90000,55,0.010830800000000002,16,false
90000,56,0.011467000000000001,16,false
90000,57,0.0112644,16,false
90000,58,0.011366000000000001,16,false
90000,59,0.011181900000000002,16,false
90000,60,0.0107855,16,false
90000,61,0.0107617,16,false
90000,62,0.0137228,16,false
90000,63,0.0144565,16,false
"-------------------------------------------------------"
100000,0,0.0267806,16,false
100000,1,0.024809300000000003,16,false
100000,2,0.0198849,16,false
100000,3,0.0188064,16,false
100000,4,0.0174519,16,false
100000,5,0.0163477,16,false
100000,6,0.016653400000000002,16,false
100000,7,0.021387,16,false
100000,8,0.0227503,16,false
100000,9,0.0157218,16,true
100000,10,0.0138904,16,true
100000,11,0.0129219,16,true
100000,12,0.0129995,16,true
100000,13,0.0139314,16,true
100000,14,0.0185934,16,true
100000,15,0.0177543,16,true
100000,16,0.017937400000000003,16,false
100000,17,0.017643100000000002,16,false
100000,18,0.0167816,16,false
100000,19,0.0130839,16,false
100000,20,0.014532100000000001,16,false
100000,21,0.0155516,16,false
100000,22,0.014343600000000001,16,false
100000,23,0.0177362,16,false
100000,24,0.015428200000000001,16,false
100000,25,0.0175783,16,false
100000,26,0.013697800000000001,16,false
